Date,Name / Description,Expense/Income,Amount (EUR),Transaction vs category,Transaction,Category
2023-12-30,Belastingdienst,Expense,9.96,Belastingdienst - Tax,Belastingdienst,Tax
2023-12-30,Tesco Breda,Expense,17.53,Tesco Breda - Groceries,Tesco Breda,Groceries
2023-12-30,Monthly Appartment Rent,Expense,451.0,Monthly Appartment Rent - Housing,Monthly Appartment Rent,Housing
2023-12-30,Vishandel Sier Amsterdam,Expense,12.46,Vishandel Sier Amsterdam - Groceries,Vishandel Sier Amsterdam,Groceries
2023-12-29,Selling Paintings,Income,13.63,Selling Paintings - Income,Selling Paintings,Income
2023-12-29,Spotify Ab By Adyen,Expense,12.19,Spotify Ab By Adyen - Entertainment,Spotify Ab By Adyen,Entertainment
2023-12-23,Tk Maxx Amsterdam Da,Expense,27.08,Tk Maxx Amsterdam Da - Shopping,Tk Maxx Amsterdam Da,Shopping
2023-12-22,Consulting,Income,541.57,Consulting - Income,Consulting,Income
2023-12-22,Aidsfonds,Expense,10.7,Aidsfonds - Charity,Aidsfonds,Charity
2023-12-20,Consulting,Income,2641.93,Consulting - Income,Consulting,Income
2023-12-19,Tls Bv Inz Ov-Chipkaart,Expense,18.9,Tls Bv Inz Ov-Chipkaart - Transport,Tls Bv Inz Ov-Chipkaart,Transport
2023-12-18,Etos Amsterdam,Expense,17.67,Etos Amsterdam - Shopping,Etos Amsterdam,Shopping
2023-12-18,Tesco Breda,Expense,8.809999999999999,Tesco Breda - Groceries,Tesco Breda,Groceries
2023-12-18,Beta Boulders Ams Amsterdam,Expense,6.94,Beta Boulders Ams Amsterdam - Sport,Beta Boulders Ams Amsterdam,Sport and Fitness
2022-11-26,Salary,Income,14.36,Salary - Income,Salary,Income
2022-11-26,Bouldermuur Bv Amsterdam,Expense,19.27,Bouldermuur Bv Amsterdam - Sport,Bouldermuur Bv Amsterdam,Sport and Fitness
2022-11-26,Birtat Restaurant Amsterdam,Expense,24.71,Birtat Restaurant Amsterdam - Food and drinks,Birtat Restaurant Amsterdam,Food and Drinks
2022-11-25,Tesco Breda,Expense,17.35,Tesco Breda - Groceries,Tesco Breda,Groceries
2022-11-24,Freelancing,Income,2409.55,Freelancing - Income,Freelancing,Income
2022-11-19,Tikkie,Expense,20.76,Tikkie - Payment,Tikkie,Payment
2022-10-25,Blogging,Income,4044.27,Blogging - Income,Blogging,Income
2022-10-24,Taxi Utrecht,Expense,18.9,Taxi Utrecht - Transport,Taxi Utrecht,Transport
2022-10-23,Tesco Breda,Expense,27.54,Tesco Breda - Groceries,Tesco Breda,Groceries
2022-10-22,Apple Services,Expense,41.25,Apple Services - Technology,Apple Services,Technology
2022-10-21,Tesco Breda,Expense,22.8,Tesco Breda - Groceries,Tesco Breda,Groceries
2022-01-16,Amazon Lux,Expense,24.11,Amazon Lux - Shopping,Amazon Lux,Shopping
2022-01-15,Classpass* Monthly,Expense,30.08,Classpass* Monthly - Sport,Classpass* Monthly,Sport and Fitness
2022-01-14,Audible Uk AdblCo/Pymt Gbr,Expense,11.0,Audible Uk AdblCo/Pymt Gbr - Entertainment,Audible Uk AdblCo/Pymt Gbr,Entertainment
